YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	105	1.003	-0.00	204.82	-5.61	352.81	129.31
1998	106	1.003	-0.00	205.80	-5.53	339.60	130.29
1998	107	1.004	-0.00	206.78	-5.45	326.39	131.27
1998	108	1.004	-0.00	207.76	-5.37	313.18	132.24
1998	109	1.004	-0.00	208.74	-5.29	299.97	133.22
1998	110	1.005	-0.00	209.71	-5.20	286.82	134.20
1998	111	1.005	-0.00	210.69	-5.12	273.61	135.18
1998	112	1.005	-0.00	211.67	-5.03	260.40	136.15
1998	113	1.005	-0.00	212.64	-4.94	247.19	137.13
1998	114	1.006	-0.00	213.62	-4.85	233.97	138.10
1998	115	1.006	-0.00	214.59	-4.76	220.76	139.07
1998	116	1.006	-0.00	215.56	-4.66	207.55	140.05
1998	117	1.006	-0.00	216.54	-4.57	194.33	141.02
1998	118	1.007	-0.00	217.51	-4.47	181.11	141.99
1998	119	1.007	-0.00	218.48	-4.38	167.90	142.96
1998	120	1.007	-0.00	219.45	-4.28	154.68	143.93
1998	121	1.008	-0.00	220.42	-4.18	141.46	144.90
1998	122	1.008	-0.00	221.39	-4.08	128.24	145.86
1998	123	1.008	-0.00	222.36	-3.98	115.02	146.83
1998	124	1.008	-0.00	223.33	-3.87	101.80	147.80
1998	125	1.009	-0.00	224.30	-3.77	88.58	148.76
1998	126	1.009	-0.00	225.27	-3.66	75.35	149.73
1998	127	1.009	-0.00	226.24	-3.56	62.13	150.69
1998	128	1.009	-0.00	227.21	-3.45	48.91	151.66
1998	129	1.009	-0.00	228.18	-3.34	35.68	152.62
1998	130	1.010	-0.00	229.14	-3.23	22.52	153.58
1998	131	1.010	-0.00	230.11	-3.13	9.29	154.54
1998	132	1.010	-0.00	231.07	-3.01	356.07	155.50
1998	133	1.010	-0.00	232.04	-2.90	342.84	156.46
1998	134	1.011	-0.00	233.01	-2.79	329.61	157.42
1998	135	1.011	-0.00	233.97	-2.68	316.38	158.38
1998	136	1.011	-0.00	234.93	-2.57	303.15	159.34
