YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	92	19.837	-0.63	309.55	5.20	281.58	233.64
1998	93	19.837	-0.63	309.56	5.20	267.40	233.65
1998	94	19.837	-0.64	309.58	5.20	253.22	233.66
1998	95	19.837	-0.64	309.59	5.21	239.05	233.67
1998	96	19.838	-0.64	309.60	5.21	224.87	233.68
1998	97	19.838	-0.64	309.61	5.21	210.69	233.69
1998	98	19.838	-0.64	309.62	5.21	196.52	233.70
1998	99	19.838	-0.64	309.63	5.21	182.34	233.72
1998	100	19.838	-0.64	309.64	5.21	168.16	233.73
1998	101	19.838	-0.64	309.65	5.21	153.99	233.74
1998	102	19.838	-0.64	309.66	5.21	139.81	233.75
1998	103	19.838	-0.64	309.68	5.21	125.63	233.76
1998	104	19.839	-0.64	309.69	5.21	111.46	233.77
1998	105	19.839	-0.64	309.70	5.21	97.28	233.78
1998	106	19.839	-0.64	309.71	5.21	83.10	233.79
1998	107	19.839	-0.64	309.72	5.21	68.93	233.80
1998	108	19.839	-0.64	309.73	5.22	54.75	233.81
1998	109	19.839	-0.64	309.74	5.22	40.58	233.83
1998	110	19.839	-0.64	309.75	5.22	26.46	233.84
1998	111	19.839	-0.64	309.76	5.22	12.28	233.85
1998	112	19.839	-0.64	309.77	5.22	358.11	233.86
1998	113	19.840	-0.64	309.79	5.22	343.93	233.87
1998	114	19.840	-0.64	309.80	5.22	329.76	233.88
1998	115	19.840	-0.64	309.81	5.22	315.58	233.89
1998	116	19.840	-0.64	309.82	5.22	301.40	233.90
1998	117	19.840	-0.64	309.83	5.22	287.23	233.91
1998	118	19.840	-0.64	309.84	5.22	273.05	233.92
1998	119	19.840	-0.64	309.85	5.22	258.87	233.94
1998	120	19.840	-0.64	309.86	5.22	244.70	233.95
1998	121	19.841	-0.64	309.87	5.22	230.52	233.96
1998	122	19.841	-0.64	309.88	5.23	216.34	233.97
1998	123	19.841	-0.64	309.90	5.23	202.17	233.98
1998	124	19.841	-0.64	309.91	5.23	187.99	233.99
1998	125	19.841	-0.64	309.92	5.23	173.81	234.00
1998	126	19.841	-0.64	309.93	5.23	159.64	234.01
1998	127	19.841	-0.64	309.94	5.23	145.46	234.02
1998	128	19.841	-0.64	309.95	5.23	131.28	234.03
1998	129	19.841	-0.64	309.96	5.23	117.11	234.05
1998	130	19.842	-0.64	309.97	5.23	102.99	234.06
1998	131	19.842	-0.64	309.98	5.23	88.82	234.07
1998	132	19.842	-0.64	309.99	5.23	74.64	234.08
1998	133	19.842	-0.64	310.01	5.23	60.46	234.09
1998	134	19.842	-0.64	310.02	5.23	46.29	234.10
1998	135	19.842	-0.64	310.03	5.23	32.11	234.11
1998	136	19.842	-0.64	310.04	5.24	17.93	234.12
1998	137	19.842	-0.64	310.05	5.24	3.76	234.13
1998	138	19.843	-0.64	310.06	5.24	349.58	234.14
1998	139	19.843	-0.64	310.07	5.24	335.41	234.16
1998	140	19.843	-0.64	310.08	5.24	321.23	234.17
1998	141	19.843	-0.64	310.09	5.24	307.05	234.18
1998	142	19.843	-0.64	310.10	5.24	292.88	234.19
1998	143	19.843	-0.64	310.12	5.24	278.70	234.20
1998	144	19.843	-0.64	310.13	5.24	264.52	234.21
1998	145	19.843	-0.64	310.14	5.24	250.35	234.22
1998	146	19.843	-0.64	310.15	5.24	236.17	234.23
1998	147	19.844	-0.64	310.16	5.24	221.99	234.24
1998	148	19.844	-0.64	310.17	5.24	207.82	234.25
1998	149	19.844	-0.64	310.18	5.25	193.64	234.27
1998	150	19.844	-0.64	310.19	5.25	179.53	234.28
1998	151	19.844	-0.64	310.20	5.25	165.35	234.29
1998	152	19.844	-0.64	310.22	5.25	151.17	234.30
1998	153	19.844	-0.64	310.23	5.25	137.00	234.31
1998	154	19.844	-0.64	310.24	5.25	122.82	234.32
1998	155	19.845	-0.64	310.25	5.25	108.64	234.33
1998	156	19.845	-0.64	310.26	5.25	94.47	234.34
1998	157	19.845	-0.64	310.27	5.25	80.29	234.35
1998	158	19.845	-0.64	310.28	5.25	66.11	234.36
1998	159	19.845	-0.64	310.29	5.25	51.94	234.38
1998	160	19.845	-0.64	310.30	5.25	37.76	234.39
1998	161	19.845	-0.64	310.31	5.25	23.58	234.40
1998	162	19.845	-0.64	310.33	5.25	9.41	234.41
1998	163	19.845	-0.64	310.34	5.26	355.23	234.42
1998	164	19.846	-0.64	310.35	5.26	341.06	234.43
1998	165	19.846	-0.64	310.36	5.26	326.88	234.44
1998	166	19.846	-0.64	310.37	5.26	312.70	234.45
1998	167	19.846	-0.64	310.38	5.26	298.53	234.46
1998	168	19.846	-0.64	310.39	5.26	284.35	234.47
1998	169	19.846	-0.64	310.40	5.26	270.17	234.49
1998	170	19.846	-0.64	310.41	5.26	256.06	234.50
1998	171	19.846	-0.64	310.42	5.26	241.88	234.51
1998	172	19.846	-0.64	310.44	5.26	227.71	234.52
1998	173	19.847	-0.64	310.45	5.26	213.53	234.53
