YYYY	DOY	AU	ELAT	ELON	HG_LAT	HG_LON	HGI_LON
1998	106	1.444	-0.41	36.71	4.14	170.47	321.15
1998	107	1.445	-0.40	37.29	4.10	156.86	321.73
1998	108	1.447	-0.38	37.87	4.06	143.25	322.31
1998	109	1.448	-0.36	38.45	4.02	129.64	322.89
1998	110	1.449	-0.34	39.03	3.98	116.10	323.47
1998	111	1.450	-0.32	39.61	3.94	102.49	324.05
1998	112	1.451	-0.30	40.18	3.90	88.87	324.62
1998	113	1.452	-0.29	40.76	3.86	75.26	325.20
1998	114	1.454	-0.27	41.33	3.82	61.65	325.77
1998	115	1.455	-0.25	41.90	3.78	48.03	326.34
1998	116	1.456	-0.23	42.47	3.73	34.42	326.92
1998	117	1.457	-0.21	43.05	3.69	20.80	327.49
1998	118	1.458	-0.19	43.62	3.65	7.18	328.06
1998	119	1.460	-0.18	44.18	3.61	353.56	328.63
1998	120	1.461	-0.16	44.75	3.56	339.94	329.19
1998	121	1.462	-0.14	45.32	3.52	326.32	329.76
1998	122	1.463	-0.12	45.89	3.48	312.70	330.33
1998	123	1.464	-0.10	46.45	3.43	299.08	330.89
1998	124	1.466	-0.08	47.01	3.39	285.45	331.45
1998	125	1.467	-0.07	47.58	3.34	271.83	332.02
1998	126	1.468	-0.05	48.14	3.30	258.20	332.58
1998	127	1.469	-0.03	48.70	3.25	244.58	333.14
1998	128	1.471	-0.01	49.26	3.21	230.95	333.70
1998	129	1.472	0.01	49.82	3.16	217.32	334.26
1998	130	1.473	0.02	50.38	3.12	203.75	334.81
1998	131	1.474	0.04	50.94	3.07	190.12	335.37
1998	132	1.476	0.06	51.49	3.03	176.49	335.93
1998	133	1.477	0.08	52.05	2.98	162.86	336.48
1998	134	1.478	0.10	52.60	2.93	149.22	337.03
1998	135	1.479	0.11	53.16	2.89	135.59	337.59
1998	136	1.481	0.13	53.71	2.84	121.95	338.14
1998	137	1.482	0.15	54.26	2.79	108.31	338.69
1998	138	1.483	0.17	54.81	2.75	94.68	339.24
1998	139	1.485	0.18	55.36	2.70	81.04	339.79
1998	140	1.486	0.20	55.91	2.65	67.40	340.34
1998	141	1.487	0.22	56.46	2.60	53.76	340.88
1998	142	1.488	0.24	57.01	2.56	40.11	341.43
1998	143	1.490	0.25	57.55	2.51	26.47	341.97
1998	144	1.491	0.27	58.10	2.46	12.83	342.52
1998	145	1.492	0.29	58.64	2.41	359.18	343.06
1998	146	1.494	0.31	59.18	2.36	345.54	343.60
1998	147	1.495	0.32	59.73	2.31	331.89	344.14
1998	148	1.496	0.34	60.27	2.27	318.24	344.68
1998	149	1.498	0.36	60.81	2.22	304.59	345.22
1998	150	1.499	0.38	61.35	2.17	291.01	345.76
1998	151	1.500	0.39	61.88	2.12	277.36	346.29
1998	152	1.501	0.41	62.42	2.07	263.70	346.83
1998	153	1.503	0.43	62.96	2.02	250.05	347.36
1998	154	1.504	0.44	63.49	1.97	236.40	347.90
1998	155	1.505	0.46	64.03	1.92	222.74	348.43
1998	156	1.507	0.48	64.56	1.87	209.09	348.96
1998	157	1.508	0.49	65.10	1.82	195.43	349.49
1998	158	1.509	0.51	65.63	1.77	181.77	350.02
1998	159	1.511	0.53	66.16	1.72	168.11	350.55
1998	160	1.512	0.54	66.69	1.67	154.46	351.08
1998	161	1.513	0.56	67.22	1.63	140.80	351.61
1998	162	1.515	0.57	67.75	1.58	127.13	352.13
1998	163	1.516	0.59	68.27	1.53	113.47	352.66
1998	164	1.517	0.61	68.80	1.48	99.81	353.18
