RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
saturn	(9.34726900, -0.28014390, 0.46073160)	9.347269	-0.2801439	0.4607316	(0.0, 0.0, 0.2)	9.362803	9.353255	9.362803	-0.03357643	-0.2707801	-0.02992721	0.04913957	-0.02992721	0.04913957	-0.03357436	-0.2704459	0.02	0	0	0.04913957	57.48112
saturn	(9.34700100, -0.28004240, 0.46696250)	9.347001	-0.2800424	0.4669625	(0.0, 0.0, 0.2)	9.362842	9.353255	9.362842	-0.03357643	-0.2707801	-0.02991625	0.04980597	-0.02991625	0.04980597	-0.03357436	-0.2704459	0.02	0	0	0.04980597	57.60113
saturn	(9.34677500, -0.27995780, 0.47215470)	9.346775	-0.2799578	0.4721547	(0.0, 0.0, 0.2)	9.362872	9.353255	9.362872	-0.03357643	-0.2707801	-0.02990711	0.05036129	-0.02990711	0.05036129	-0.03357436	-0.2704459	0.02	0	0	0.05036129	57.70113
saturn	(9.34649900, -0.27985610, 0.47838520)	9.346499	-0.2798561	0.4783852	(0.0, 0.0, 0.2)	9.36291	9.353255	9.36291	-0.03357643	-0.2707801	-0.02989613	0.05102767	-0.02989613	0.05102767	-0.03357436	-0.2704459	0.02	0	0	0.05102767	57.82113
saturn	(9.34626600, -0.27977130, 0.48357700)	9.346266	-0.2797713	0.483577	(0.0, 0.0, 0.2)	9.362943	9.353255	9.362943	-0.03357643	-0.2707801	-0.02988696	0.05158297	-0.02988696	0.05158297	-0.03357436	-0.2704459	0.02	0	0	0.05158297	57.92113
saturn	(9.34598400, -0.27966940, 0.48980710)	9.345984	-0.2796694	0.4898071	(0.0, 0.0, 0.2)	9.362979	9.353255	9.362979	-0.03357643	-0.2707801	-0.02987596	0.05224934	-0.02987596	0.05224934	-0.03357436	-0.2704459	0.02	0	0	0.05224934	58.04114
saturn	(9.34574300, -0.27958430, 0.49499860)	9.345743	-0.2795843	0.4949986	(0.0, 0.0, 0.2)	9.363011	9.353255	9.363011	-0.03357643	-0.2707801	-0.02986677	0.05280465	-0.02986677	0.05280465	-0.03357436	-0.2704459	0.02	0	0	0.05280465	58.14114
saturn	(9.34545300, -0.27948220, 0.50122830)	9.345453	-0.2794822	0.5012283	(0.0, 0.0, 0.2)	9.36305	9.353255	9.36305	-0.03357643	-0.2707801	-0.02985574	0.05347099	-0.02985574	0.05347099	-0.03357436	-0.2704459	0.02	0	0	0.05347099	58.26114
saturn	(9.34520800, -0.27939700, 0.50641940)	9.345208	-0.279397	0.5064194	(0.0, 0.0, 0.2)	9.363082	9.353255	9.363082	-0.03357643	-0.2707801	-0.02984653	0.05402628	-0.02984653	0.05402628	-0.03357436	-0.2704459	0.02	0	0	0.05402628	58.36115
saturn	(9.34491000, -0.27929460, 0.51264860)	9.34491	-0.2792946	0.5126486	(0.0, 0.0, 0.2)	9.363122	9.353255	9.363122	-0.03357643	-0.2707801	-0.02983547	0.05469261	-0.02983547	0.05469261	-0.03357436	-0.2704459	0.02	0	0	0.05469261	58.48115
saturn	(9.34465900, -0.27920920, 0.51783950)	9.344659	-0.2792092	0.5178395	(0.0, 0.0, 0.2)	9.363153	9.353255	9.363153	-0.03357643	-0.2707801	-0.02982625	0.05524789	-0.02982625	0.05524789	-0.03357436	-0.2704459	0.02	0	0	0.05524789	58.58115
saturn	(9.34435300, -0.27910660, 0.52406820)	9.344353	-0.2791066	0.5240682	(0.0, 0.0, 0.2)	9.36319	9.353255	9.36319	-0.03357643	-0.2707801	-0.02981517	0.05591422	-0.02981517	0.05591422	-0.03357436	-0.2704459	0.02	0	0	0.05591422	58.70115
saturn	(9.34409400, -0.27902110, 0.52925870)	9.344094	-0.2790211	0.5292587	(0.0, 0.0, 0.2)	9.363224	9.353255	9.363224	-0.03357643	-0.2707801	-0.02980592	0.05646948	-0.02980592	0.05646948	-0.03357436	-0.2704459	0.02	0	0	0.05646948	58.80116
saturn	(9.34383400, -0.27893540, 0.53444890)	9.343834	-0.2789354	0.5344489	(0.0, 0.0, 0.2)	9.363256	9.353255	9.363256	-0.03357643	-0.2707801	-0.02979667	0.05702473	-0.02979667	0.05702473	-0.03357436	-0.2704459	0.02	0	0	0.05702473	58.90116
saturn	(9.34351700, -0.27883250, 0.54067710)	9.343517	-0.2788325	0.5406771	(0.0, 0.0, 0.2)	9.363295	9.353255	9.363295	-0.03357643	-0.2707801	-0.02978555	0.05769103	-0.02978555	0.05769103	-0.03357436	-0.2704459	0.02	0	0	0.05769103	59.02116
saturn	(9.34325000, -0.27874660, 0.54586700)	9.34325	-0.2787466	0.545867	(0.0, 0.0, 0.2)	9.363327	9.353255	9.363327	-0.03357643	-0.2707801	-0.02977628	0.05824628	-0.02977628	0.05824628	-0.03357436	-0.2704459	0.02	0	0	0.05824628	59.12116
saturn	(9.34292700, -0.27864350, 0.55209460)	9.342927	-0.2786435	0.5520946	(0.0, 0.0, 0.2)	9.363365	9.353255	9.363365	-0.03357643	-0.2707801	-0.02976514	0.05891258	-0.02976514	0.05891258	-0.03357436	-0.2704459	0.02	0	0	0.05891258	59.24117
