RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
uranus	(-4.63677700, -0.00567489, -18.39132000)	-4.636777	-0.005674887	-18.39132	(-0.1, 0.0, 0.0)	18.96682	18.94545	18.96682	-0.004564666	-1.505222	-0.0002997364	-1.817729	-0.0002997364	-1.817729	-1.505222	0	0.02	0	0	-1.817729	0
uranus	(-4.64031900, -0.00562410, -18.39046000)	-4.640319	-0.005624096	-18.39046	(-0.1, 0.0, 0.0)	18.96684	18.94545	18.96684	-0.004564666	-1.505222	-0.0002970581	-1.817921	-0.0002970581	-1.817921	-1.505222	0	0.02	0	0	-1.817921	0
uranus	(-4.64386000, -0.00557330, -18.38959000)	-4.64386	-0.005573303	-18.38959	(-0.1, 0.0, 0.0)	18.96687	18.94545	18.96687	-0.004564666	-1.505222	-0.0002943797	-1.818113	-0.0002943797	-1.818113	-1.505222	0	0.02	0	0	-1.818113	0
uranus	(-4.64811000, -0.00551235, -18.38854000)	-4.64811	-0.005512353	-18.38854	(-0.1, 0.0, 0.0)	18.9669	18.94545	18.9669	-0.004564666	-1.505222	-0.0002911658	-1.818344	-0.0002911658	-1.818344	-1.505222	0	0.02	0	0	-1.818344	0
uranus	(-4.65165100, -0.00546156, -18.38768000)	-4.651651	-0.005461561	-18.38768	(-0.1, 0.0, 0.0)	18.96692	18.94545	18.96692	-0.004564666	-1.505222	-0.0002884874	-1.818536	-0.0002884874	-1.818536	-1.505222	0	0.02	0	0	-1.818536	0
uranus	(-4.65590000, -0.00540061, -18.38663000)	-4.6559	-0.005400608	-18.38663	(-0.1, 0.0, 0.0)	18.96696	18.94545	18.96696	-0.004564666	-1.505222	-0.0002852733	-1.818767	-0.0002852733	-1.818767	-1.505222	0	0.02	0	0	-1.818767	0
uranus	(-4.65944100, -0.00534981, -18.38576000)	-4.659441	-0.005349814	-18.38576	(-0.1, 0.0, 0.0)	18.96698	18.94545	18.96698	-0.004564666	-1.505222	-0.000282595	-1.818959	-0.000282595	-1.818959	-1.505222	0	0.02	0	0	-1.818959	0
uranus	(-4.66369000, -0.00528886, -18.38472000)	-4.66369	-0.005288862	-18.38472	(-0.1, 0.0, 0.0)	18.96701	18.94545	18.96701	-0.004564666	-1.505222	-0.0002793809	-1.81919	-0.0002793809	-1.81919	-1.505222	0	0.02	0	0	-1.81919	0
uranus	(-4.66723100, -0.00523807, -18.38384000)	-4.667231	-0.005238067	-18.38384	(-0.1, 0.0, 0.0)	18.96704	18.94545	18.96704	-0.004564666	-1.505222	-0.0002767025	-1.819382	-0.0002767025	-1.819382	-1.505222	0	0.02	0	0	-1.819382	0
uranus	(-4.67147900, -0.00517711, -18.38280000)	-4.671479	-0.005177114	-18.3828	(-0.1, 0.0, 0.0)	18.96707	18.94545	18.96707	-0.004564666	-1.505222	-0.0002734883	-1.819613	-0.0002734883	-1.819613	-1.505222	0	0.02	0	0	-1.819613	0
