RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
neptune	(22.20591000, -0.95015620, 4.28006600)	22.20591	-0.9501562	4.280066	(0.0, 0.0, -0.1)	22.63456	22.55261	22.63456	-0.03740481	0.3823733	-0.04198976	0.1904422	-0.04198976	0.1904422	0.3823733	0	0.02	0	0	0.1904422	0
neptune	(22.20675000, -0.95023620, 4.27645200)	22.20675	-0.9502362	4.276452	(0.0, 0.0, -0.1)	22.6347	22.55261	22.6347	-0.03740481	0.3823733	-0.04199303	0.1902783	-0.04199303	0.1902783	0.3823733	0	0.02	0	0	0.1902783	0
neptune	(22.20775000, -0.95033200, 4.27211300)	22.20775	-0.950332	4.272113	(0.0, 0.0, -0.1)	22.63486	22.55261	22.63486	-0.03740481	0.3823733	-0.04199696	0.1900816	-0.04199696	0.1900816	0.3823733	0	0.02	0	0	0.1900816	0
neptune	(22.20858000, -0.95041190, 4.26849800)	22.20858	-0.9504119	4.268498	(0.0, 0.0, -0.1)	22.635	22.55261	22.635	-0.03740481	0.3823733	-0.04200024	0.1899176	-0.04200024	0.1899176	0.3823733	0	0.02	0	0	0.1899176	0
neptune	(22.20958000, -0.95050760, 4.26416000)	22.20958	-0.9505076	4.26416	(0.0, 0.0, -0.1)	22.63516	22.55261	22.63516	-0.03740481	0.3823733	-0.04200416	0.1897209	-0.04200416	0.1897209	0.3823733	0	0.02	0	0	0.1897209	0
neptune	(22.21041000, -0.95058750, 4.26054400)	22.21041	-0.9505875	4.260544	(0.0, 0.0, -0.1)	22.6353	22.55261	22.6353	-0.03740481	0.3823733	-0.04200744	0.189557	-0.04200744	0.189557	0.3823733	0	0.02	0	0	0.189557	0
neptune	(22.21141000, -0.95068320, 4.25620600)	22.21141	-0.9506832	4.256206	(0.0, 0.0, -0.1)	22.63547	22.55261	22.63547	-0.03740481	0.3823733	-0.04201137	0.1893603	-0.04201137	0.1893603	0.3823733	0	0.02	0	0	0.1893603	0
neptune	(22.21224000, -0.95076300, 4.25259000)	22.21224	-0.950763	4.25259	(0.0, 0.0, -0.1)	22.63561	22.55261	22.63561	-0.03740481	0.3823733	-0.04201464	0.1891963	-0.04201464	0.1891963	0.3823733	0	0.02	0	0	0.1891963	0
neptune	(22.21307000, -0.95084270, 4.24897500)	22.21307	-0.9508427	4.248975	(0.0, 0.0, -0.1)	22.63574	22.55261	22.63574	-0.03740481	0.3823733	-0.04201791	0.1890324	-0.04201791	0.1890324	0.3823733	0	0.02	0	0	0.1890324	0
neptune	(22.21406000, -0.95093830, 4.24463600)	22.21406	-0.9509383	4.244636	(0.0, 0.0, -0.1)	22.63591	22.55261	22.63591	-0.03740481	0.3823733	-0.04202182	0.1888357	-0.04202182	0.1888357	0.3823733	0	0.02	0	0	0.1888357	0
neptune	(22.21489000, -0.95101820, 4.24102000)	22.21489	-0.9510182	4.24102	(0.0, 0.0, -0.1)	22.63605	22.55261	22.63605	-0.03740481	0.3823733	-0.04202509	0.1886718	-0.04202509	0.1886718	0.3823733	0	0.02	0	0	0.1886718	0
neptune	(22.21589000, -0.95111350, 4.23668100)	22.21589	-0.9511135	4.236681	(0.0, 0.0, -0.1)	22.63622	22.55261	22.63622	-0.03740481	0.3823733	-0.042029	0.1884751	-0.042029	0.1884751	0.3823733	0	0.02	0	0	0.1884751	0
neptune	(22.21671000, -0.95119340, 4.23306400)	22.21671	-0.9511934	4.233064	(0.0, 0.0, -0.1)	22.63636	22.55261	22.63636	-0.03740481	0.3823733	-0.04203227	0.1883111	-0.04203227	0.1883111	0.3823733	0	0.02	0	0	0.1883111	0
neptune	(22.21771000, -0.95128880, 4.22872400)	22.21771	-0.9512888	4.228724	(0.0, 0.0, -0.1)	22.63653	22.55261	22.63653	-0.03740481	0.3823733	-0.04203618	0.1881144	-0.04203618	0.1881144	0.3823733	0	0.02	0	0	0.1881144	0
neptune	(22.21853000, -0.95136850, 4.22510900)	22.21853	-0.9513685	4.225109	(0.0, 0.0, -0.1)	22.63667	22.55261	22.63667	-0.03740481	0.3823733	-0.04203945	0.1879505	-0.04203945	0.1879505	0.3823733	0	0.02	0	0	0.1879505	0
neptune	(22.21952000, -0.95146400, 4.22076900)	22.21952	-0.951464	4.220769	(0.0, 0.0, -0.1)	22.63683	22.55261	22.63683	-0.03740481	0.3823733	-0.04204335	0.1877539	-0.04204335	0.1877539	0.3823733	0	0.02	0	0	0.1877539	0
neptune	(22.22035000, -0.95154350, 4.21715200)	22.22035	-0.9515435	4.217152	(0.0, 0.0, -0.1)	22.63697	22.55261	22.63697	-0.03740481	0.3823733	-0.04204661	0.1875899	-0.04204661	0.1875899	0.3823733	0	0.02	0	0	0.1875899	0
neptune	(22.22134000, -0.95163900, 4.21281200)	22.22134	-0.951639	4.212812	(0.0, 0.0, -0.1)	22.63714	22.55261	22.63714	-0.03740481	0.3823733	-0.04205052	0.1873932	-0.04205052	0.1873932	0.3823733	0	0.02	0	0	0.1873932	0
neptune	(22.22217000, -0.95171850, 4.20919600)	22.22217	-0.9517185	4.209196	(0.0, 0.0, -0.1)	22.63728	22.55261	22.63728	-0.03740481	0.3823733	-0.04205378	0.1872294	-0.04205378	0.1872294	0.3823733	0	0.02	0	0	0.1872294	0
neptune	(22.22316000, -0.95181380, 4.20485500)	22.22316	-0.9518138	4.204855	(0.0, 0.0, -0.1)	22.63745	22.55261	22.63745	-0.03740481	0.3823733	-0.04205768	0.1870327	-0.04205768	0.1870327	0.3823733	0	0.02	0	0	0.1870327	0
neptune	(22.22398000, -0.95189330, 4.20123800)	22.22398	-0.9518933	4.201238	(0.0, 0.0, -0.1)	22.63759	22.55261	22.63759	-0.03740481	0.3823733	-0.04206093	0.1868687	-0.04206093	0.1868687	0.3823733	0	0.02	0	0	0.1868687	0
neptune	(22.22480000, -0.95197280, 4.19762100)	22.2248	-0.9519728	4.197621	(0.0, 0.0, -0.1)	22.63773	22.55261	22.63773	-0.03740481	0.3823733	-0.04206419	0.1867049	-0.04206419	0.1867049	0.3823733	0	0.02	0	0	0.1867049	0
neptune	(22.22579000, -0.95206820, 4.19328100)	22.22579	-0.9520682	4.193281	(0.0, 0.0, -0.1)	22.6379	22.55261	22.6379	-0.03740481	0.3823733	-0.04206808	0.1865082	-0.04206808	0.1865082	0.3823733	0	0.02	0	0	0.1865082	0
neptune	(22.22661000, -0.95214750, 4.18966300)	22.22661	-0.9521475	4.189663	(0.0, 0.0, -0.1)	22.63804	22.55261	22.63804	-0.03740481	0.3823733	-0.04207134	0.1863443	-0.04207134	0.1863443	0.3823733	0	0.02	0	0	0.1863443	0
neptune	(22.22760000, -0.95224280, 4.18532200)	22.2276	-0.9522428	4.185322	(0.0, 0.0, -0.1)	22.63821	22.55261	22.63821	-0.03740481	0.3823733	-0.04207523	0.1861476	-0.04207523	0.1861476	0.3823733	0	0.02	0	0	0.1861476	0
neptune	(22.22842000, -0.95232220, 4.18170500)	22.22842	-0.9523222	4.181705	(0.0, 0.0, -0.1)	22.63835	22.55261	22.63835	-0.03740481	0.3823733	-0.04207848	0.1859837	-0.04207848	0.1859837	0.3823733	0	0.02	0	0	0.1859837	0
neptune	(22.22940000, -0.95241740, 4.17736400)	22.2294	-0.9524174	4.177364	(0.0, 0.0, -0.1)	22.63852	22.55261	22.63852	-0.03740481	0.3823733	-0.04208237	0.185787	-0.04208237	0.185787	0.3823733	0	0.02	0	0	0.185787	0
neptune	(22.23022000, -0.95249660, 4.17374700)	22.23022	-0.9524966	4.173747	(0.0, 0.0, -0.1)	22.63866	22.55261	22.63866	-0.03740481	0.3823733	-0.04208563	0.1856232	-0.04208563	0.1856232	0.3823733	0	0.02	0	0	0.1856232	0
neptune	(22.23121000, -0.95259180, 4.16940500)	22.23121	-0.9525918	4.169405	(0.0, 0.0, -0.1)	22.63883	22.55261	22.63883	-0.03740481	0.3823733	-0.04208951	0.1854265	-0.04208951	0.1854265	0.3823733	0	0.02	0	0	0.1854265	0
neptune	(22.23203000, -0.95267110, 4.16578700)	22.23203	-0.9526711	4.165787	(0.0, 0.0, -0.1)	22.63897	22.55261	22.63897	-0.03740481	0.3823733	-0.04209275	0.1852626	-0.04209275	0.1852626	0.3823733	0	0.02	0	0	0.1852626	0
neptune	(22.23301000, -0.95276620, 4.16144500)	22.23301	-0.9527662	4.161445	(0.0, 0.0, -0.1)	22.63914	22.55261	22.63914	-0.03740481	0.3823733	-0.04209664	0.185066	-0.04209664	0.185066	0.3823733	0	0.02	0	0	0.185066	0
neptune	(22.23383000, -0.95284530, 4.15782700)	22.23383	-0.9528453	4.157827	(0.0, 0.0, -0.1)	22.63928	22.55261	22.63928	-0.03740481	0.3823733	-0.04209988	0.1849021	-0.04209988	0.1849021	0.3823733	0	0.02	0	0	0.1849021	0
neptune	(22.23464000, -0.95292450, 4.15420900)	22.23464	-0.9529245	4.154209	(0.0, 0.0, -0.1)	22.63942	22.55261	22.63942	-0.03740481	0.3823733	-0.04210312	0.1847382	-0.04210312	0.1847382	0.3823733	0	0.02	0	0	0.1847382	0
neptune	(22.23562000, -0.95301950, 4.14986700)	22.23562	-0.9530195	4.149867	(0.0, 0.0, -0.1)	22.63959	22.55261	22.63959	-0.03740481	0.3823733	-0.04210701	0.1845416	-0.04210701	0.1845416	0.3823733	0	0.02	0	0	0.1845416	0
neptune	(22.23644000, -0.95309880, 4.14624800)	22.23644	-0.9530988	4.146248	(0.0, 0.0, -0.1)	22.63974	22.55261	22.63974	-0.03740481	0.3823733	-0.04211023	0.1843777	-0.04211023	0.1843777	0.3823733	0	0.02	0	0	0.1843777	0
neptune	(22.23742000, -0.95319370, 4.14190700)	22.23742	-0.9531937	4.141907	(0.0, 0.0, -0.1)	22.63991	22.55261	22.63991	-0.03740481	0.3823733	-0.04211412	0.1841811	-0.04211412	0.1841811	0.3823733	0	0.02	0	0	0.1841811	0
neptune	(22.23823000, -0.95327280, 4.13828800)	22.23823	-0.9532728	4.138288	(0.0, 0.0, -0.1)	22.64005	22.55261	22.64005	-0.03740481	0.3823733	-0.04211735	0.1840172	-0.04211735	0.1840172	0.3823733	0	0.02	0	0	0.1840172	0
neptune	(22.23921000, -0.95336770, 4.13394500)	22.23921	-0.9533677	4.133945	(0.0, 0.0, -0.1)	22.64022	22.55261	22.64022	-0.03740481	0.3823733	-0.04212122	0.1838206	-0.04212122	0.1838206	0.3823733	0	0.02	0	0	0.1838206	0
neptune	(22.24003000, -0.95344670, 4.13032700)	22.24003	-0.9534467	4.130327	(0.0, 0.0, -0.1)	22.64037	22.55261	22.64037	-0.03740481	0.3823733	-0.04212445	0.1836567	-0.04212445	0.1836567	0.3823733	0	0.02	0	0	0.1836567	0
neptune	(22.24100000, -0.95354170, 4.12598500)	22.241	-0.9535417	4.125985	(0.0, 0.0, -0.1)	22.64054	22.55261	22.64054	-0.03740481	0.3823733	-0.04212832	0.1834601	-0.04212832	0.1834601	0.3823733	0	0.02	0	0	0.1834601	0
neptune	(22.24182000, -0.95362070, 4.12236500)	22.24182	-0.9536207	4.122365	(0.0, 0.0, -0.1)	22.64068	22.55261	22.64068	-0.03740481	0.3823733	-0.04213157	0.1832962	-0.04213157	0.1832962	0.3823733	0	0.02	0	0	0.1832962	0
neptune	(22.24279000, -0.95371550, 4.11802200)	22.24279	-0.9537155	4.118022	(0.0, 0.0, -0.1)	22.64085	22.55261	22.64085	-0.03740481	0.3823733	-0.04213543	0.1830996	-0.04213543	0.1830996	0.3823733	0	0.02	0	0	0.1830996	0
neptune	(22.24360000, -0.95379440, 4.11440300)	22.2436	-0.9537944	4.114403	(0.0, 0.0, -0.1)	22.64099	22.55261	22.64099	-0.03740481	0.3823733	-0.04213865	0.1829357	-0.04213865	0.1829357	0.3823733	0	0.02	0	0	0.1829357	0
neptune	(22.24441000, -0.95387330, 4.11078400)	22.24441	-0.9538733	4.110784	(0.0, 0.0, -0.1)	22.64114	22.55261	22.64114	-0.03740481	0.3823733	-0.04214187	0.1827718	-0.04214187	0.1827718	0.3823733	0	0.02	0	0	0.1827718	0
